Column1,new,
猜猜我是誰？我是你當兵的學長啦，最近手頭有點緊，能不能借點錢週轉？ , 這種“猜猜我是誰”的詐騙來電很常見，建議您千萬不要隨意透露個人資訊或直接借款。應該明確拒絕並挂斷電話，若懷疑真的有問題，可向警方報案確認。,100
我是你孫子，我跟人打架要賠錢，阿公你快點匯錢救我。 , 這種來電極有可能是詐騙，建議您不要急著相信對方的話。首先應該做的是向您的家人求證孫子的狀況，並且不要直接匯款給不明人士。如果懷疑是詐騙，可以報警處理。,80
喂？老朋友，我最近剛換工作，手頭有點緊，借個三千過兩天還你。 , 這種情況很可能是詐騙，建議您不要直接借款。請先確認對方的身份，可以要求見面或視訊證實，並且避免透露任何個人財務資訊。若仍有疑慮，可以直接挂斷電話並報警處理。,80
我是你以前的鄰居，我最近手頭緊，能不能借我五千塊買菜？ , 面對此類詐騙來電，建議您保持警覺，千萬不要直接借款或提供個人資料。請直接拒絕並立即挂斷電話，若有疑慮，可向警方報案查證。,80
你好，我是你姪子，我換手機號碼了，原本那支停用了。 , 若收到這樣的電話，請先保持冷靜，不要透露任何個人資訊。建議你應直接與你的姪子本人或家人核對此電話的真?，勿直接按對方指示操作或匯款。,80
我是你的真命天子，雖然我們相隔兩地，但心是在一起的，借我五萬好嗎？ , 這明顯是一通詐騙電話，建議您不要相信任何要求匯款給未曾見面或不太熟悉的人。請直接拒絕並立即挂斷電話，也可以報警或向相關機構舉報此類詐騙行為。,80
我是您公司的系統管理員，請告訴我您的登入密碼，我要做例行檢查。 , 這種來電明顯是詐騙。請千萬不要提供任何密碼或個人資訊，立即挂斷電話，並向公司資訊部門或保安部門報告此事。不要回電給來電者，以防上當。,80
同學，我是教務處，你的學費減免申請少蓋一個章，去提款機操作補正。 , 這種來電極有可能是詐騙。請不要依照指示前往提款機操作，應立即致電學校教務處或當面核實此事的真偽。切勿提供任何個人資料或進行任何金錢交易。,80
猜猜我是誰？聽不出來喔？我們上次在同學會見過啊，你聲音怎麼變了？ , 這種“猜猜我是誰”的詐騙來電很常見，建議您不要隨便猜測或透露任何個人資訊。如果懷疑是詐騙，可以直接掛斷電話，或詢問對方具體的個人資料以確認身份。保持警覺是防詐的不二法門。,100
喂？猜猜我是誰？聽不出來喔？我們很久沒見了耶，我是你老同學啦。 , 這種猜猜我是誰的詐騙來電很常見，千萬不要隨意透露個人資訊或猜測對方身份。若遇到此類電話，請直接挂斷，並可報警或向165反詐騙專線通報。,100
我是你在IG上認識的那個模特兒，我現在沒錢吃飯了，請我吃飯好嗎？ , 這種來電極有可能是詐騙。請不要直接匯款或提供任何個人資料。建議您挂斷電話，並透過IG官方管道核實對方身份。千萬不要輕易相信任何要求金錢援助的陌生來電。,80
我是你姪子，我現在出車禍了不敢跟家裡講，姑姑你先借我醫藥費。 , 面對此類來電，請務必保持警覺，不要急著相信對方的身分。請直接與您的姪子或家人聯繫以確認真實情況，千萬不要隨意匯款給不明的來電者。,80
先生你好，我是你女兒的學校教官，她現在涉及偷竊被留置，請家長處理。 , 這顯然是一通詐騙電話。建議您不要直接回應任何個人資料或進行匯款。請先與您的女兒或學校聯繫以確認真相。,80
我是你在交友軟體認識的那個香港總裁，記得我嗎？我想帶你一起賺錢。 , 這種來電極有可能是詐騙。請不要相信任何來自不熟悉或未經證實身份人士的投資或賺錢訴求，並且不要透露任何個人資訊或進行任何金錢交易。建議直接挂斷電話，並可報告相關單位進行查證。,100
喂？媽，是我啦！我的手機掉進水裡壞掉了，這是借朋友的手機打給你的。 , 如果接到這樣的電話，建議您首先要保持冷靜，不要急著相信對方所言。應該詢問對方一些只有您和您子女之間才知道的私人問題以確認其身份，或直接挂斷電話後，透過其他方式如短信或直接致電子女常用的手機號碼來核實情況。千萬不要隨便透露個人資料或進行匯款。,80
姑姑，我是小陳啦，我現在在醫院，急需一筆手術保證金，能不能先借我？ , 若接到這種託言急需錢財的電話，請務必保持冷靜，不要急於作出決定。建議先透過其他方式驗證對方的身分及狀況，比如說向家人確認或直接打給小陳平時使用的電話號碼，以避免受騙上當。,80
親愛的，不要聽你朋友亂說，他們是嫉妒我們賺錢，你要相信我。 , 這種電話內容聽起來像典型的詐騙。建議您直接掛斷電話，並且不要回應任何個人資訊或進行任何金錢交易。如果可能的話，記下來電號碼並報告給警方或相關防詐機構。,80
只要你加入我們的LINE群組，每天晚上八點都有老師直播教學，完全免費。 , 這種來電很有可能是詐騙。請不要隨意加入陌生LINE群組，並且千萬不要透露任何個人資訊，直接挂斷電話並報警處理。,80
姑姑，我現在急需用錢，不敢跟爸媽說，你能不能偷偷借我一萬？ , 若遇到該類來電，要求借款並且要求保密，請務必先與您的家人核實對方的身份。若無法確認，千萬不要隨意匯款，以免上當受騙。可以先問對方一些個人問題來驗證其身份，或直接與被提及的家人聯繫確認。,80
我是您孩子的補習班老師，他剛剛受傷送醫了，需要先繳醫藥費。 , 這種來電極有可能是詐騙。請您不要慌張，立即致電給您的孩子或其學校确?真實情況，千萬不要隨便透露個人資料或進行任何匯款行為。,80
我是你姪子啦，姑姑你忘記我了嗎？我騎車撞到人，急需和解金。 , 若收到這樣的電話，請首先保持冷靜，不要慌張給予金錢。務必與您的姪子或其他家人核實身分及事件真?，不要直接透過電話指示的操作進行匯款。詐騙案件層出不窮，确?之前切勿隨意透露個人資訊或進行任何金錢交易。,80
我是你姪女，姑姑我手機壞了，這是我朋友的電話，能先借我五千嗎？ , 面對此類來電，請務必先透過其他管道核實對方身份，例如直接聯繫家人驗證。千萬不要急著匯款，以防遭受詐騙。,80
我是你的網戀對象John，我的女兒突然生病了，急需醫藥費，拜託你幫幫我。 , 這種來電極有可能是詐騙。請不要相信對方所說的任何資訊，千萬不要直接匯款或提供任何個人財務資料。建議立即挂斷電話，並向警方報案。,80
