輸入,輸出,得分
猜猜我是誰？我是你當兵的學長啦，最近手頭有點緊，能不能借點錢週轉？,這種「猜猜我是誰」是常見詐騙手法，不要回答對方、不要匯款，直接掛電話並主動打給真正的同袍或親友確認身分。,100
我是你孫子，我跟人打架要賠錢，阿公你快點匯錢救我。,這是典型的「假親友」詐騙，不要緊張也不要匯錢。先掛電話，改用你熟悉的方式主動打給真正的家人確認，千萬不要依照對方指示操作匯款。,100
喂？老朋友，我最近剛換工作，手頭有點緊，借個三千過兩天還你。,這種突然冒出「老朋友」要借錢的多半是詐騙，不要照對方說的做。直接掛掉，再用你真正認識的聯絡方式詢問本人是否真的有這件事即可。,100
我是你以前的鄰居，我最近手頭緊，能不能借我五千塊買菜？,這種突然自稱「舊鄰居」借錢的情況很常見於詐騙。先不要答應也不要匯款，直接掛電話後用你熟悉的方式聯絡真正的鄰居確認即可。,100
你好，我是你姪子，我換手機號碼了，原本那支停用了。,這是常見的「冒充親戚換號碼」開場白，通常是後續借錢詐騙的前奏。不要急著回應，先掛電話，改用你平常聯絡姪子的方式主動確認是否真的換號。,100
我是你的真命天子，雖然我們相隔兩地，但心是在一起的，借我五萬好嗎？,這是典型的「愛情詐騙」說法，只要一開口談錢就絕對有問題。立刻停止聯絡、不要匯款，也不要再回應，必要時可封鎖並向165反詐騙專線諮詢。,100
我是您公司的系統管理員，請告訴我您的登入密碼，我要做例行檢查。,這是明顯的資訊安全詐騙，真正的系統管理員絕不會要求提供密碼。立刻掛電話，不要透露任何帳號或密碼，並主動向公司資訊部門回報確認。,100
同學，我是教務處，你的學費減免申請少蓋一個章，去提款機操作補正。,這是典型的「ATM 操作補件」詐騙，學校不可能要求到提款機補資料。不要依照指示操作，立即掛電話，並直接聯絡學校教務處確認即可。,100
猜猜我是誰？聽不出來喔？我們上次在同學會見過啊，你聲音怎麼變了？,這是「猜猜我是誰」的常見詐騙話術，用模糊關係套話讓你自己說出人名。不要接話、不要透露任何資訊，直接掛掉，之後再主動聯絡真正的同學確認即可。,100
喂？猜猜我是誰？聽不出來喔？我們很久沒見了耶，我是你老同學啦。,這是典型的「猜猜我是誰」套話詐騙，想讓你自己說出名字再進一步行騙。不要回答也不要配合，直接掛電話，之後用你熟悉的方式聯絡真正的同學確認即可,100
