Column1,new,
這裡是刑事局，我們查獲詐騙集團名冊有您的名字，請不要掛斷，轉接檢察官說明。, 這是經典的假冒刑事局＋轉檢察官詐騙手法，千萬不要聽從指示、不要按任何鍵、直接掛斷電話，然後撥打165反詐騙專線或110報警求證，絕對不要提供任何個人資料或轉帳。,100
先生你好，我是虛擬貨幣交易所的客服，您的錢包因為風險控管被凍結了。, 直接掛斷電話，然後自己親自打開你原本註冊的那家虛擬貨幣交易所的官方App或官網登入查詢錢包狀態。  正規交易所絕對不會用電話通知你「錢包被凍結」並要求你轉帳或提供資料，這是臺灣最常見的「假客服」詐騙，千萬別點對方傳的任何連結，也別理會對方！,100
寶貝，這是我要在退休後帶你環遊世界的基金，你先幫我保管一下。, 這是典型的「養老天殺」＋殺豬盤詐騙手法，騙子假裝是熟人或感情對象，用「退休基金」「一起環遊世界」等甜言蜜語誘你先收錢、再叫你轉到所謂的「安全帳戶」或繳手續費。遇到這種電話，直接掛掉並回一句：「你連我名字都叫不出來，還想環遊世界？滾啦！」然後立刻向反詐騙165或165反詐騙專線檢舉，千萬不要加任何LINE、點任何連結、收任何錢。,100
寶貝，只要這次投資成功，我們就可以在台北買房子，過我們想要的生活。, 這是典型的詐騙「殺豬盤」語術，對方用感情+買房夢想誘導你投資。  請立刻掛斷電話、不要點任何連結或轉帳，並向165反詐騙專線或警方檢舉，保護自己！,100
你好，我是投資顧問公司的陳經理，我們現在有一個針對VIP客戶的飆股佈局。, 這是典型的「投資顧問／理專／經理」詐騙開場白，直接掛斷並拉黑即可，千萬不要回話、不要好奇問「哪一家公司」、更不要加任何LINE。臺灣常見模式：對方會說有「內線飆股」「VIP專案」「穩賺不賠」，後面一定會引導你下載假投資APP或匯款，遇到這種電話一句話不說就掛最安全！,100
老婆，這是我千辛萬苦才爭取到的投資名額，千萬不要浪費。, 這是典型的「假老公／假男友」＋「屠宰盤」投資詐騙，千萬別相信！  請直接回覆：「老公你聲音怎麼怪怪的？我們現在立刻用原本的手機打給我，不然我一毛都不轉！」然後馬上掛斷、拉黑，並向反詐騙165或「165全民防騙」LINE官方帳號檢舉。,100
我是虛擬貨幣大戶，我現在要散財做公益，轉一顆以太幣給我，我還你十顆。, 這是經典的「虛擬貨幣倍數返還」詐騙（俗稱「殺豬盤」進階版），正確做法只有一句話：  「直接掛斷電話、封鎖號碼，絕對不要加任何LINE或Telegram，也不要轉任何幣或錢。」  記住：天上不會掉餡餅，只會掉豬食。收到這種電話100%是詐騙，轉出去的錢一毛都拿不回來！,100
親愛的，我不想看你每天工作那麼辛苦，跟著我投資，以後我養你。, 這是典型的「豬仔盤」詐騙（殺豬盤）甜言蜜語開場，絕對不要相信、更不要加LINE或點任何連結。  直接掛斷電話、拉黑號碼，如果對方已經加你好友，立即向165反詐騙專線或警政署「反詐騙165」LINE官方帳號檢舉，千萬別回任何訊息！,100
只要先繳交保險費，就可以獲得這份高風險高報酬的工作。, 這是典型的「假工作詐騙」話術，正規公司絕對不會要求你「先繳錢」才能上班。  只要對方開口要你先轉帳繳任何費用（保險費、手續費、培訓費等），立刻掛電話並向165反詐騙專線檢舉，千萬別轉帳！,100
我們公司在招募加密貨幣操盤手，不用經驗，老師會帶你操作，獲利對分。, 這是典型的「加密貨幣假投資詐騙」（俗稱殺豬盤前奏），千萬不要加入任何 LINE 群、Telegram 群或下載他們指定的 APP，也不要匯任何錢。直接掛電話、拉黑號碼，並向165反詐騙專線檢舉即可，絕對不要相信「老師帶你賺、獲利對分」這種話。,100
