輸入,輸出,得分
這是灰產工作，雖然遊走法律邊緣，但是獲利非常高，敢不敢拚？ , 這類來電涉嫌誘導從事非法或違法活動，請立即掛斷並避免回應。若已提供個人資料或金錢，請儘速向臺灣警方或金融監理機構報案，以免遭受進一步損失。,100
您的車貸逾期未繳，我們已經向法院申請強制拖吊，請立刻匯款。 , 請勿輕信此類通話，應立即掛斷並撥打車貸銀行官方客服確認帳戶狀況，切勿隨意匯款。,100
您的信用卡剛剛在PChome刷了一筆兩萬元的消費，系統判定為異常交易。 , 請勿回撥或提供任何個人資訊，直接掛斷電話後，立即撥打銀行官方客服電話確認帳戶狀況。,80
只要拉三個朋友進來投資，你就可以升級成鑽石會員，領取更高的佣金。 , 這類「拉人頭投資賺高佣金」的誘惑很可能是詐騙，請勿輕信。建議立即掛斷電話，並向警方或金融機構檢舉，避免財產損失。,100
我是某某遊戲客服，您的帳號涉嫌使用外掛，請繳納保證金解凍。 , 請勿相信此類訊息，遊戲官方不會要求玩家繳納「保證金」解凍帳號。請立即掛斷電話，並向遊戲官方客服查證，避免個資外洩或金錢損失。,100
海關通知：您的包裹裡面有未申報的黃金，涉嫌走私，請配合調查。 , 請勿輕信，此為常見詐騙手法。請立即掛斷電話，並向海關或警方報案查證。,80
我是監理站，您有一筆交通罰單逾期未繳，即將扣押您的駕照。 , 請勿驚慌，臺灣的監理單位不會以電話通知罰單未繳並威脅扣押駕照。建議您掛斷電話後，親自至當地監理站或透過「交通違規查詢系統」查詢，以確認是否真的有罰單，避免受騙。,100
我是地檢署，現在懷疑你涉及詐欺，請不要掛斷電話。 , 請勿驚慌，臺灣地檢署不會以電話方式通知涉案，更不會要求提供帳戶密碼或進行轉帳。請立即掛斷電話，並撥打165反詐騙諮詢專線確認。,80
您的Line Pay帳戶出現異常登入，為了防止盜刷，請提供剛剛收到的六位數驗證碼。 , 請勿提供任何驗證碼，LINE Pay不會主動要求您提供驗證碼。若懷疑帳戶異常，請直接透過官方APP檢查帳戶狀態，並立即聯絡LINE Pay官方客服確認。,100
喂？我是玉山銀行信貸部的陳專員，我們現在有針對優質客戶的低利貸款方案。 , 請勿輕信，玉山銀行不會以電話主動推銷信貸。建議掛斷後，直接撥打官方客服電話（0800-333-888）或親至分行確認，以防詐騙。,0
猜猜我是誰？我是你當兵的學長啦，最近手頭有點緊，能不能借點錢週轉？ , 這類「猜猜我是誰」的電話多為詐騙手法，請勿輕信。若懷疑是熟人求助，應立即掛斷後，主動撥打對方已知的聯絡電話確認身份，切勿直接轉帳。,100
如果不配合我們調查，你的所有資產都會被法院查封。 , 請勿驚慌，此為常見詐騙話術。請立即掛斷電話，並儘速撥打165反詐騙諮詢專線確認，切勿提供任何個人資料或金錢資訊。,80
姑姑，我是小陳啦，我現在在醫院，急需一筆手術保證金，能不能先借我？ , 請立即掛斷電話，並撥打165反詐騙專線確認，切勿輕信陌生來電借錢，尤其涉及緊急醫療費用的請求極可能是詐騙。,100
我是你的真命天子，雖然我們相隔兩地，但心是在一起的，借我五萬好嗎？ , 這通電話明顯是詐騙，請勿相信，直接掛斷並避免回撥。若曾誤撥或提供資訊，請盡快聯絡銀行或警方協助。,80
我是交易所客服，因為您的操作涉及洗錢，我們必須暫時保管您的資金。 , 請勿相信此類電話，台灣的金融機構或交易所絕不會以「洗錢」為由要求保管資金。請立即掛斷電話，並向金融機構或警方檢舉。,80
快遞通知，您的包裹裡面有違禁品，被海關扣留了，要繳罰款才能領。 , 請勿輕信，此為常見詐騙手法。請立即掛斷電話，並於24小時內撥打165反詐騙專線或致電當地警察局確認。,80
我是警衛，有警察拿著搜索票要進來搜您家，您現在在家嗎？ , 請勿輕信，警方不會事先通知或由保全轉達搜查通知。建議立即掛斷電話，並撥打110確認是否真有搜查行動。,100
我是台電通知，您的電費沒繳，請按0轉接客服。 , 請勿按0轉接，此為常見電信詐騙手法。正確做法是：掛斷電話後，直接撥打台電官方客服電話（如0800-000-111）確認帳單狀況。,0
你好，我是你姪子，我換手機號碼了，原本那支停用了。 , 請立即撥打您姪子原有的聯絡電話，或透過其他親屬確認身分，切勿輕信來電內容，避免遭詐騙。,80
我是蝦皮資安人員，發現有駭客正在嘗試更改您的銀行帳號，請立刻攔截。 , 請勿驚慌，蝦皮官方不會主動撥打電話要求您更換銀行帳戶或提供個人資料。若接到類似電話，請立即掛斷，並透過蝦皮APP內的官方管道查詢帳戶狀況，切勿回撥或提供任何資訊。,100
您的二手拍賣帳號被停權，因為涉及洗錢，請聯繫客服。 , 請勿回電或提供任何個人資料，此為常見詐騙手法；請立即掛斷並撥打官方平台客服電話確認帳號狀態。,100
我是你姪女，姑姑我手機壞了，這是我朋友的電話，能先借我五千嗎？ , 請先冷靜，這類「親戚緊急借錢」的電話很常見於詐騙。建議您立即掛斷電話，並主動撥打您真正知道的親屬手機，確認狀況，切勿直接轉帳或借錢。,100
你好，我是網拍小幫手，因為訂單誤植為12期分期，請依照指示解除。 , 請勿依照指示操作，此為常見詐騙手法。請立即掛斷電話，並向平台官方客服查證訂單狀況，切勿提供任何個人資料或銀行資訊。,80
我是亞馬遜客服，您有一筆跨國訂單金額過大，需要您確認是否為本人操作。 , 請勿輕信，亞馬遜官方不會透過電話要求您確認訂單或提供個人資訊。建議您掛斷電話後，直接登入亞馬遜官方網站或App查看訂單狀況，若有疑問可透過官方客服管道查詢。,100
媽，我跟朋友在外面出事了，現在在警察局，需要保釋金。 , 請立即撥打您孩子的手機或親友的電話確認狀況，切勿直接匯款。若有疑問，可撥打165反詐騙諮詢專線確認。,100
您的蝦皮賣場因為沒有簽署金流協議，導致無法收款，請聯繫客服處理。 , 請勿輕信此通電話，蝦皮官方不會以語音或簡訊通知您「未簽署金流協議」，更不會要求您主動回電或提供個人資料。請直接透過蝦皮APP內的官方客服管道查詢，切勿點擊來電中的連結或提供任何資訊。,100
這檔未上市股票有內線消息，主力大戶已經在收籌碼了，要跟要快。 , 這類「內線消息」、「主力收籌碼」的說法極可能是詐騙，未上市股票交易風險極高且常被不法分子利用。請勿輕信，切勿匯款或提供個人資料，建議立即掛斷並向金融機構或警方檢舉。,100
快點，老師說現在馬上買進，十分鐘後準時賣出，做短線價差。 , 這類「老師」推薦買賣的電話極可能是詐騙，請勿相信，切勿輕易轉帳或購買任何金融商品。建議立即掛斷電話，並可向金融監理機構檢舉。,100
我是國稅局，您去年的所得稅有重複繳納的情況，現在要幫您辦理退稅。 , 請勿輕信，台灣國稅局不會以電話方式通知退稅或要求提供帳戶資訊。若懷疑是詐騙，請掛斷電話後撥打165反詐騙專線確認。,80
喂？老朋友，我最近剛換工作，手頭有點緊，借個三千過兩天還你。 , 這類「老朋友借錢」的電話很可能是詐騙，請勿輕信。建議您先冷靜，不要立刻回應，可先透過其他聯絡方式（如LINE、簡訊）確認對方身分，或直接掛斷電話，避免受騙。,100
我是你孫子啦，我在外面跟人家打架，現在在警察局，急需保釋金。 , 這類電話極可能是詐騙，請勿輕信。建議立即掛斷電話，並儘快聯繫您的親屬確認情況，切勿匯款或提供任何個人資料。,100
我是亞馬遜安全部門，您的帳號有一筆異常的高額訂單，請確認是否為盜刷。 , 請勿回撥或提供任何個人資訊，直接掛斷電話。可透過官方亞馬遜網站或App查閱帳戶狀況，若懷疑受騙，請立即聯繫亞馬遜官方客服確認。,80
健保局通知：您的健保卡違規借給他人使用，即將停權。 , 請勿輕信此類電話，健保局不會以電話通知健保卡違規使用或即將停權。若您懷疑卡片遭濫用，可直接撥打健保署官方客服電話（0800-000-321）或親至就近的健保局服務中心查詢，切勿提供個人資訊或按指示操作。,0
您的訂單被系統誤判為詐騙，需要您轉帳一筆錢來證明信用。 , 請勿轉帳，此為常見詐騙手法；請立即掛斷電話，並向原購物平台或銀行確認訂單狀況。,80
您的Line Pay帳戶顯示異常登入，為了安全請點擊連結重新驗證。 , 請勿點擊來電中的連結，此為常見詐騙手法。請直接掛斷並立即至官方Line Pay網站或App內檢查帳戶狀況，如有疑慮可聯絡LINE官方客服確認。,80
老婆，這是我千辛萬苦才爭取到的投資名額，千萬不要浪費。 , 這類話術是常見的投資詐騙手法，請立即掛斷電話，切勿回撥或提供任何個人資料。建議您撥打165反詐騙諮詢專線，確認是否為詐騙。,100
親愛的，不要聽你朋友亂說，他們是嫉妒我們賺錢，你要相信我。 , 這類話術是常見的詐騙手法，請勿相信，立即掛斷電話，並可向警方或防詐騙專線（165）反映，避免受騙。,60
如果不立刻解除分期付款設定，銀行會在午夜十二點準時扣款喔。 , 請勿慌張，銀行不會以這種方式通知您扣款，此為常見詐騙手法。建議您立即掛斷電話，並直接撥打銀行官方客服電話確認帳戶狀況。,100
我們公司在招募加密貨幣操盤手，不用經驗，老師會帶你操作，獲利對分。 , 這類「零經驗就能賺大錢」的加密貨幣招募，極可能是詐騙陷阱。請勿輕信，切勿提供個人資料或轉帳，建議立即掛斷並向警方或金融機構檢舉。,100
我是你孫子，我跟人打架要賠錢，阿公你快點匯錢救我。 , 請立即掛斷電話，並儘快聯繫您的孫子本人確認狀況，切勿輕信陌生來電內容。若懷疑遭詐騙，請立即撥打165反詐騙諮詢專線求助。,80
我是地檢署檢察官，為了偵查不公開，你不能跟任何人說這通電話的內容。 , 請立即掛斷電話，此為常見詐騙手法。真正的司法機關不會要求保密通話內容或以電話方式傳達偵查資訊。如有疑慮，請撥打165反詐騙諮詢專線確認。,80
寶貝，你是我這輩子遇過最特別的人，我不希望你因為沒錢而受苦，快跟著我投資。 , 這類話術是常見的投資詐騙手法，請立即掛斷電話，千萬不要相信「免費投資」或「特別關懷」的誘惑。若有疑慮，可撥打165反詐騙諮詢專線求證。,80
這裡是刑事局，我們查獲詐騙集團名冊有您的名字，請不要掛斷，轉接檢察官說明。 , 請勿相信此類電話，台灣警方不會以電話方式通知您涉及詐騙，更不會要求轉接檢察官。若接到類似內容，請立即掛斷並撥打165反詐騙專線確認。,80
