Column1,new,
我是你的理財專員，現在有個限時方案，只要投入十萬，下個月領回十二萬。 , 這是典型的「投資詐騙」訊息，請不要相信或轉帳任何金額；先掛斷電話並向警方（例如台灣警政署）報案，同時可向金融監督管理委員會（FSC）舉報。,80
我是虛擬貨幣大戶，我現在要散財做公益，轉一顆以太幣給我，我還你十顆。 , 別回覆也不要轉錢！這是典型的「虛擬貨幣詐騙」來電，請直接掛斷並向台灣金融監督管理委員會或警方報案。,100
先生你好，我是虛擬貨幣交易所的客服，您的錢包因為風險控管被凍結了。 , 這可能是詐騙電話，請不要回覆任何個人或帳戶資訊，直接掛斷並向警方或金融監督機構（如金管會）報案。,80
喂？我是玉山銀行信貸部的陳專員，我們現在有針對優質客戶的低利貸款方案。 , 請不要回覆或透露任何個人資訊，直接掛斷電話即可。如仍懷疑，可致電玉山銀行客服中心確認。,80
您的Line Pay帳戶顯示異常登入，為了安全請點擊連結重新驗證。 , 不要點擊任何連結！直接刪除此電話並向 LINE 官方客服或臺灣警政署網路詐騙專線報案，確認訊息真偽。,80
寶貝，只要這次投資成功，我們就可以在台北買房子，過我們想要的生活。 , 請先不要回應或轉帳任何金額；先把來電者的電話號碼截圖、記錄對話內容，再向台灣金融監督管理委員會（FSC）或警方 報案，並確認這是否為已知的投資詐騙。若有疑慮，最好直接聯絡您熟悉且可信任的銀行或專業人士進行核實。,80
您的Line Pay涉及洗錢，我們現在要遠端監控您的手機，請下載TeamViewer。 , 先不要回覆或點擊任何連結！  直接掛斷電話並將號碼加入阻擋清單，若有疑慮可向「台灣電信」或「金管會消費者保護處」報案。,80
我是你孫子，我跟人打架要賠錢，阿公你快點匯錢救我。 , 請先不要匯款，也別回覆任何金額或個人資訊；先自行確認對方身份（例如打電話給您真正的孫子）並將此號碼加入阻擋名單，必要時報警。,80
快遞通知，您的包裹裡面有違禁品，被海關扣留了，要繳罰款才能領。 , 請不要回覆或撥打該電話號碼，並將來電內容（包含對方稱包裹被扣留需繳費）報給台灣警政署的「線上防詐騙中心」（https//www.pcc.gov.tw/），或直接撥打110 緊急求助。這樣能確保不會 落入詐騙圈套。,80
相信我一次，我不會拿自己的信譽開玩笑，這檔股票絕對會噴。 , 請立即掛斷並保持距離！此訊息顯示典型的投資詐騙，說明「只要相信一次就能賺錢」且承諾「不會拿信譽開玩笑」。不要回覆或透露任何個人資料，也不要轉帳。若有疑慮，可向金融監督管理委員會（FSC）或警局報案，並保留 通話紀錄作為證據。,100
